"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"004735";"0175";"127289,245";
"500";"004736";"0175";"6658,316";
"500";"004737";"0175";"24653,194";
"500";"004738";"0175";"57145,6885";
"500";"004739";"0175";"109469,916";
"500";"004740";"0175";"5803,958";
"500";"004741";"0175";"21496,605";
"500";"004742";"0175";"49839,5585";
"500";"004743";"0175";"95463,1175";
"500";"004744";"0175";"97307,25";
"500";"004745";"0175";"179565,002";
"500";"004746";"0175";"69309,212";
"500";"004747";"0175";"135976,851";
"500";"004748";"0175";"111133,332";
"500";"004749";"0175";"131759,18";
"500";"004750";"0175";"82683,206";
"500";"004751";"0175";"194531,309";
"500";"004752";"0175";"148190,633";
"500";"004753";"0175";"68977,736";
"500";"004754";"0175";"120954,447";
"500";"004755";"0175";"209495,914";
"500";"004756";"0175";"59019,518";
"500";"004757";"0175";"134676,339";
"500";"004758";"0175";"57196,998";
"500";"004759";"0175";"74983,887";
"500";"004800";"0134";"157,212";
"500";"004801";"0163";"5491,227";
"500";"004802";"0163";"15283,758";
"500";"004803";"0163";"32492,145";
"500";"004804";"0163";"58813,125";
"500";"004805";"0163";"334100,172";
"500";"004806";"0152";"6036,304";
"500";"004807";"0152";"20257,549";
"500";"004808";"0152";"42572,481";
"500";"004809";"0152";"79658,67";
"500";"004811";"0186";"7699,8";
"500";"004812";"0186";"27429";
"500";"004813";"0186";"117465";
"500";"004814";"0186";"1172190";
"500";"004815";"0152";"103647,4875";
"500";"004817";"0131";"200,367";
"500";"004820";"0163";"13530,762";
"500";"004821";"0163";"15575,091";
"500";"004822";"0181";"0,989";
"500";"004823";"0181";"1,4835";
"500";"004824";"0181";"1,8705";
"500";"004827";"0902";"9629,998";
"500";"004831";"0163";"13536,432";
"500";"004832";"0163";"13536,432";
"500";"004833";"0163";"13536,432";
"500";"004834";"0163";"13536,516";
"500";"004835";"0163";"13536,432";
"500";"004836";"0163";"13536,516";
"500";"004837";"0163";"13536,432";
"500";"004838";"0163";"13536,432";
"500";"004839";"0163";"13536,537";
"500";"004840";"0163";"13536,432";
"500";"004841";"0163";"13536,432";
"500";"004842";"0163";"13536,432";
"500";"004843";"0163";"13536,432";
"500";"004844";"0163";"13536,432";
"500";"004845";"0163";"13536,432";
"500";"004846";"0163";"13536,432";
"500";"004847";"0163";"13536,432";
"500";"004848";"0163";"13536,432";
"500";"004849";"0163";"13536,432";
"500";"004850";"0163";"13536,432";
"500";"004851";"0163";"13536,432";
"500";"004852";"0163";"13536,432";
"500";"004853";"0163";"13536,432";
"500";"004854";"0163";"13536,432";
"500";"004855";"0163";"13536,432";
"500";"004856";"0130";"1134735,8235";
"500";"004857";"0187";"16305,1875";
"500";"004859";"0152";"84745,605";
"500";"004860";"0152";"84745,605";
"500";"004865";"0138";"13485,064";
"500";"004866";"0138";"50091,053";
"500";"004867";"0138";"116461,7915";
"500";"004868";"0138";"231935,237";
"500";"004869";"0138";"13485,064";
"500";"004870";"0138";"50091,0325";
"500";"004871";"0138";"116461,7915";
"500";"004872";"0138";"231935,2165";
"500";"004873";"0138";"13485,064";
"500";"004874";"0138";"50091,0325";
"500";"004875";"0138";"116461,7915";
"500";"004876";"0138";"231935,2165";
"500";"004877";"0138";"13485,064";
"500";"004878";"0138";"50091,0325";
"500";"004879";"0138";"116461,7915";
"500";"004880";"0138";"231935,2165";
"500";"004881";"0138";"13485,064";
"500";"004882";"0138";"50091,0325";
"500";"004883";"0138";"116461,7915";
"500";"004884";"0138";"231935,2165";
"500";"004885";"0138";"13485,064";
"500";"004886";"0138";"50091,0325";
"500";"004887";"0138";"116461,7915";
"500";"004888";"0138";"231935,2165";
"500";"004889";"0138";"10787,961";
"500";"004890";"0138";"39268,16";
"500";"004891";"0138";"93261,9005";
"500";"004892";"0138";"182596,985";
"500";"004893";"0138";"10787,961";
"500";"004894";"0138";"39268,16";
"500";"004895";"0138";"93261,9005";
"500";"004896";"0138";"182596,985";
"500";"004897";"0138";"10787,961";
"500";"004898";"0138";"39268,16";
"500";"004899";"0138";"93261,9005";
"500";"004900";"0138";"182596,985";
"500";"004901";"0138";"10787,961";
"500";"004902";"0138";"39268,16";
"500";"004903";"0138";"93261,9005";
"500";"004904";"0138";"182596,985";
"500";"004905";"0138";"10787,961";
"500";"004906";"0138";"39268,16";
"500";"004907";"0138";"93261,9005";
"500";"004908";"0138";"182596,985";
"500";"004909";"0138";"10787,961";
"500";"004910";"0138";"39268,16";
"500";"004911";"0138";"93261,9005";
"500";"004912";"0138";"182596,985";
"500";"004913";"0139";"57158,684";
"500";"004914";"0139";"242102,2735";
"500";"004915";"0139";"57158,684";
"500";"004916";"0139";"242102,2735";
"500";"004917";"0163";"15725,451";
"500";"004918";"0163";"56479,017";
"500";"004919";"0163";"130081,308";
"500";"004920";"0163";"249853,947";
"500";"004921";"0163";"2188623,15";
"500";"004922";"0163";"25948,503";
"500";"004923";"0163";"17179,071";
"500";"004924";"0163";"150999,555";
"500";"004925";"0152";"203375,613";
"500";"004926";"0152";"16194,898";
"500";"004927";"0152";"60583,863";
"500";"004928";"0163";"7405,65";
"500";"004929";"0163";"10833,333";
"500";"004931";"0152";"608182,428";
"500";"004933";"0128";"12028,785";
"500";"004934";"0128";"13448,533";
"500";"004939";"0188";"36,0259";
"500";"004940";"0188";"37,5276";
"500";"004943";"0139";"80609,54";
"500";"004945";"0139";"259587,7485";
"500";"004948";"0138";"301998,538";
"500";"004950";"0163";"258124,986";
"500";"004951";"0163";"188361,474";
"500";"004952";"0163";"166037,13";
"500";"004953";"0139";"17833,178";
"500";"004954";"0139";"69577,266";
"500";"004955";"0139";"154115,474";
"500";"004956";"0139";"308299,951";
"500";"004957";"0139";"17833,178";
"500";"004958";"0139";"69577,266";
"500";"004959";"0139";"154115,474";
"500";"004960";"0139";"308299,951";
"500";"004961";"0139";"17833,178";
"500";"004962";"0139";"69577,266";
"500";"004963";"0139";"154115,474";
"500";"004964";"0139";"308299,951";
"500";"004965";"0139";"17833,178";
"500";"004966";"0139";"69577,266";
"500";"004967";"0139";"154115,474";
"500";"004968";"0139";"308300,033";
"500";"004969";"0139";"17833,178";
"500";"004970";"0139";"69577,266";
"500";"004971";"0139";"154115,474";
"500";"004972";"0139";"308299,951";
"500";"004973";"0139";"25348,554";
"500";"004974";"0139";"99730,708";
"500";"004975";"0139";"441659,0315";
"500";"004976";"0139";"25348,554";
"500";"004977";"0139";"99730,708";
"500";"004978";"0139";"441659,0315";
"500";"004979";"0139";"22388,828";
"500";"004980";"0139";"88090,75";
"500";"004981";"0139";"390081,8515";
"500";"004982";"0139";"22388,828";
"500";"004983";"0139";"88090,75";
"500";"004984";"0139";"390081,8515";
"500";"004994";"0163";"35926,926";
"500";"004995";"0163";"42930,993";
"500";"004997";"0902";"75801,6405";
"500";"004998";"0107";"38272,6125";
"500";"004999";"0107";"75106,6495";
"500";"005000";"0107";"134119,364";
"500";"005001";"0134";"28,754";
"500";"005002";"0163";"189287,49";
"500";"005003";"0163";"173513,529";
"500";"005004";"0163";"189287,49";
"500";"005005";"0163";"189287,49";
"500";"005007";"0111";"823581,2475";
"500";"005008";"0163";"17183,733";
"500";"005009";"0143";"11,972";
"500";"005011";"0111";"649873,2675";
"500";"005012";"0134";"23,804";
"500";"005013";"0184";"114940,0355";
"500";"005014";"0184";"143152,443";
"500";"005015";"0184";"142722,353";
"500";"005016";"0184";"146939,1005";
"500";"005017";"0184";"182653,278";
"500";"005018";"0184";"121548,313";
"500";"005022";"0163";"14310,24";
"500";"005023";"0163";"49914,774";
"500";"005024";"0102";"2239,167";
"500";"005025";"0102";"1110,669";
"500";"005026";"0102";"1110,669";
"500";"005027";"0102";"1110,669";
"500";"005028";"0102";"1110,669";
"500";"005029";"0102";"1110,669";
"500";"005030";"0102";"1110,669";
"500";"005031";"0102";"1110,669";
"500";"005032";"0102";"5760,825";
"500";"005033";"0102";"13557,432";
"500";"005034";"0102";"19804,407";
"500";"005035";"0102";"55861,197";
"500";"005037";"0140";"8536,651";
