"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000184";"MART.HAMMERITE GRIS PLATA X 0,225";"000225";"0902";"503";
"000185";"AEROSOL RUST-OLEUM PARA PLASTICO BRILLANTE NEGRO X 0,340 (248649)";"000340";"0145";"503";
"000186";"AEROSOL RUST-OLEUM PARA PLASTICO BRILLANTE BLANCO X 0,340 (248650)";"000340";"0902";"503";
"000187";"MART.HAMMERITE NEGRO X 0,225";"000225";"0902";"503";
"000188";"MART.HAMMERITE NEGRO X 0,800";"000800";"0902";"503";
"000189";"AEROSOL RUST-OLEUM PARA PLASTICO BRILLANTE ROJO X 0,340 (248651)";"000340";"0902";"503";
"000190";"MART.HAMMERITE AZUL OSC.X 0,225";"000225";"0902";"503";
"000191";"MART.HAMMERITE AZUL OSC.X 0,800";"000800";"0902";"503";
"000192";"MART.HAMMERITE AZUL OSC.X 2,400";"002400";"0902";"503";
"000193";"FONDO PARA MADERA ALBA BLANCO X 20";"020000";"0107";"503";
"000194";"FRATACHO DE PINO 30CM CON FIELTRO (FR16)";"001000";"0176";"503";
"000195";"FONDO ANTIOXIDO ALBA ROJO X  0,500";"000500";"0107";"503";
"000196";"FONDO ANTIOXIDO ALBA ROJO X  1";"001001";"0902";"503";
"000197";"FONDO ANTIOXIDO ALBA ROJO X  4";"004000";"0902";"503";
"000198";"FONDO ANTIOXIDO ALBA ROJO X 20";"020000";"0107";"503";
"000199";"FONDO PARA MADERA ALBA BLANCO X  0,500";"000500";"0107";"503";
"000200";"FONDO PARA MADERA ALBA BLANCO X  1";"001001";"0107";"503";
"000201";"FONDO PARA MADERA ALBA BLANCO X  4";"004000";"0107";"503";
"000202";"TRAPO CAMISETA X 0,500";"000501";"0103";"503";
"000203";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE DOBLE VIDA INCOLORO X 0,500";"000500";"0902";"503";
"000204";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE NATURAL X  1";"001001";"0107";"503";
"000205";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE NATURAL X  4";"004000";"0107";"503";
"000206";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE NATURAL X 20";"020000";"0902";"503";
"000207";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU BRILLANTE NATURAL X  0,500";"000500";"0902";"503";
"000208";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU BRILLANTE NATURAL X  1";"001001";"0107";"503";
"000209";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU BRILLANTE NATURAL X  4";"004000";"0107";"503";
"000210";"BARNIZ PARA MADERA INTERIOR CRISTALBA PU BRILLANTE NATURAL X 20";"020000";"0902";"503";
"000211";"DISCO REMOVEDOR DE ADHESIVO 89X";"001000";"0102";"503";
"000212";"ESMALTE SINTETICO COLORIN SATINE SATINADO BLANCO X 1";"001001";"0116";"503";
"000213";"ESMALTE SINTETICO COLORIN SATINE SATINADO BLANCO X 4";"004000";"0116";"503";
"000214";"ESMALTE SINTETICO COLORIN SATINE SATINADO NEGRO X 1";"001001";"0116";"503";
"000215";"ESMALTE SINTETICO COLORIN SATINE SATINADO NEGRO X 4";"004000";"0116";"503";
"000216";"AGITADOR MANUAL PARA PINTURAS";"001000";"0103";"503";
"000217";"COLA PAPEL COLVINIL X 0,250";"000250";"0119";"503";
"000218";"PM01.04 PRIMER MULTIFILLER 1K ACS X 0.900";"000900";"0132";"503";
"000219";"COLA PAPEL COLVINIL X 0,500";"000500";"0119";"503";
"000220";"FBR551 CLEAR EPOXI MAXIPISO X 20";"020000";"0133";"503";
"000221";"FBR560 ENDURECEDOR EPOXI MAXIPISO X 0,600";"000601";"0133";"503";
"000222";"FBR100 PRIMER PU DIRECTO METAL X 20";"020000";"0133";"503";
"000223";"PISTOLA PARA PINTAR EXPERTO SISTEMA HVLP 600 PICO 1.4 (383058)";"001000";"0180";"501";
"000224";"PISTOLA PARA PINTAR EXPERTO SISTEMA HVLP 2EN1 PREMIUM 600 PICO 1.3 (383147)";"001000";"0180";"501";
"000225";"PM01.01 PRIMER MULTIFILLER 1K ACS X 3.500";"003500";"0132";"503";
"000226";"PISTOLA PARA SUBCARROCERIA EXPERTO 50MM (387711)";"001000";"0180";"501";
"000227";"V21.08 BARNIZ HS ACS EVOLUTION X 4";"004000";"0132";"503";
"000228";"EC800.01 BARNIZ DE SECADO ULTRA RAPIDO EHP X 3.785";"003785";"0169";"503";
